Curso-Seccion,Promedio,Calculo,Estadistica,Fisica,Quimica,Programacion,GestionEmp,Economia
BEF01-U,14.847,0.10,0.10,0.00,0.00,0.10,0.40,0.30
BEF01-V,14.847,0.10,0.10,0.00,0.00,0.10,0.40,0.30
BEF01-W,18.462,0.10,0.10,0.00,0.00,0.10,0.40,0.30
BEF01-X,18.462,0.10,0.10,0.00,0.00,0.10,0.40,0.30
BEF01-Y,17.579,0.10,0.10,0.00,0.00,0.10,0.40,0.30
BFI01-U,14.109,0.25,0.15,0.50,0.00,0.10,0.00,0.00
BFI01-V,16.807,0.25,0.15,0.50,0.00,0.10,0.00,0.00
BFI01-W,14.109,0.25,0.15,0.50,0.00,0.10,0.00,0.00
BFI01-X,16.807,0.25,0.15,0.50,0.00,0.10,0.00,0.00
BIC01-X,16.315,0.10,0.10,0.00,0.00,0.70,0.10,0.00
BIC01-Y,16.315,0.10,0.10,0.00,0.00,0.70,0.10,0.00
BMA01-U,16.734,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA01-V,17.472,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA01-W,17.381,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA01-X,16.914,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA01-Y,17.202,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA02-U,17.499,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA02-V,17.753,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA02-W,16.741,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA02-X,16.839,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA03-V,17.11,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA03-W,16.671,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BMA03-X,17.202,1.00,0.00,0.00,0.00,0.00,0.00,0.00
BQU01-U,17.815,0.10,0.00,0.00,0.80,0.10,0.00,0.00
BQU01-V,17.458,0.10,0.00,0.00,0.80,0.10,0.00,0.00
BQU01-W,17.548,0.10,0.00,0.00,0.80,0.10,0.00,0.00
BQU01-X,17.815,0.10,0.00,0.00,0.80,0.10,0.00,0.00
BQU01-Y,17.086,0.10,0.00,0.00,0.80,0.10,0.00,0.00
BQU01-Z,17.508,0.10,0.00,0.00,0.80,0.10,0.00,0.00
BRC01-V,19.134,0.10,0.10,0.00,0.00,0.10,0.40,0.30
BRC01-W,19.134,0.10,0.10,0.00,0.00,0.10,0.40,0.30
BRC01-Y,14.847,0.10,0.10,0.00,0.00,0.10,0.40,0.30
BRN01-U,16.053,0.10,0.10,0.00,0.00,0.10,0.40,0.30
BRN01-X,17.579,0.10,0.10,0.00,0.00,0.10,0.40,0.30
FB101-U,17.402,0.75,0.00,0.00,0.00,0.25,0.00,0.00
FB101-W,17.182,0.75,0.00,0.00,0.00,0.25,0.00,0.00
FB101-X,16.671,0.75,0.00,0.00,0.00,0.25,0.00,0.00
FB101-Y,17.212,0.75,0.00,0.00,0.00,0.25,0.00,0.00
FB202-U,17.459,0.10,0.00,0.00,0.80,0.10,0.00,0.00
FB202-V,17.459,0.10,0.00,0.00,0.80,0.10,0.00,0.00
FB301-U,16.835,0.70,0.00,0.00,0.00,0.30,0.00,0.00
FB301-V,16.741,0.70,0.00,0.00,0.00,0.30,0.00,0.00
FB301-W,16.948,0.70,0.00,0.00,0.00,0.30,0.00,0.00
FB301-X,16.835,0.70,0.00,0.00,0.00,0.30,0.00,0.00
FB303-U,16.398,1.00,0.00,0.00,0.00,0.00,0.00,0.00
FB303-V,17.472,1.00,0.00,0.00,0.00,0.00,0.00,0.00
FB303-W,16.57,1.00,0.00,0.00,0.00,0.00,0.00,0.00
FB303-X,16.727,1.00,0.00,0.00,0.00,0.00,0.00,0.00
FB305-U,16.95,0.25,0.75,0.00,0.00,0.00,0.00,0.00
FB305-V,17.18,0.25,0.75,0.00,0.00,0.00,0.00,0.00
FB305-W,16.95,0.25,0.75,0.00,0.00,0.00,0.00,0.00
FB305-X,17.18,0.25,0.75,0.00,0.00,0.00,0.00,0.00
FB305-Y,16.741,0.25,0.75,0.00,0.00,0.00,0.00,0.00
FB401-U,16.807,0.25,0.15,0.50,0.00,0.10,0.00,0.00
FB401-V,14.109,0.25,0.15,0.50,0.00,0.10,0.00,0.00
FB401-W,16.807,0.25,0.15,0.50,0.00,0.10,0.00,0.00
FB403-U,17.499,1.00,0.00,0.00,0.00,0.00,0.00,0.00
FB403-V,17.753,1.00,0.00,0.00,0.00,0.00,0.00,0.00
FB405-U,16.95,0.25,0.75,0.00,0.00,0.00,0.00,0.00
FB405-V,17.18,0.25,0.75,0.00,0.00,0.00,0.00,0.00
FB501-U,17.562,0.75,0.25,0.00,0.00,0.00,0.00,0.00
FB501-V,16.948,0.75,0.25,0.00,0.00,0.00,0.00,0.00
GE001-U,16.733,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GE001-V,17.697,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GE101-U,17.915,0.20,0.20,0.00,0.00,0.20,0.20,0.20
GE101-V,16.625,0.20,0.20,0.00,0.00,0.20,0.20,0.20
GE101-W,16.625,0.20,0.20,0.00,0.00,0.20,0.20,0.20
GE112-U,16.827,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GE112-V,16.944,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GE122-U,17.159,0.10,0.10,0.00,0.00,0.10,0.50,0.20
GE124-V,17.915,0.10,0.10,0.00,0.00,0.10,0.20,0.50
GE128-U,15.824,0.10,0.10,0.00,0.00,0.20,0.60,0.00
GE128-V,16.773,0.10,0.10,0.00,0.00,0.20,0.60,0.00
GE128-W,15.824,0.10,0.10,0.00,0.00,0.20,0.60,0.00
GE501-U,17.697,0.10,0.10,0.00,0.00,0.10,0.70,0.00
GE501-V,18.133,0.10,0.10,0.00,0.00,0.10,0.70,0.00
GE502-U,16.589,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GE502-V,16.733,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GE602-U,17.159,0.10,0.10,0.00,0.00,0.10,0.40,0.30
GE604-V,11.388,0.10,0.10,0.00,0.00,0.10,0.70,0.00
GE605-U,17.291,0.10,0.10,0.00,0.00,0.10,0.40,0.30
GE605-V,16.773,0.10,0.10,0.00,0.00,0.10,0.40,0.30
GE701-U,16.513,0.10,0.10,0.00,0.00,0.10,0.70,0.00
GE701-W,14.664,0.10,0.10,0.00,0.00,0.10,0.70,0.00
GE703-U,17.423,0.10,0.10,0.00,0.00,0.10,0.70,0.00
GE704-V,17.291,0.10,0.10,0.00,0.00,0.10,0.50,0.20
GE704-W,17.159,0.10,0.10,0.00,0.00,0.10,0.50,0.20
GE709-U,17.579,0.10,0.10,0.00,0.00,0.10,0.70,0.00
GE709-V,19.163,0.10,0.10,0.00,0.00,0.10,0.70,0.00
GE801-U,16.513,0.10,0.10,0.00,0.00,0.10,0.70,0.00
GE802-U,17.423,0.10,0.10,0.00,0.00,0.10,0.70,0.00
GE803-U,14.664,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GE805-V,18.719,0.10,0.10,0.00,0.00,0.10,0.50,0.20
GE901-U,15.824,0.10,0.10,0.00,0.00,0.10,0.70,0.00
GE901-V,17.423,0.10,0.10,0.00,0.00,0.10,0.70,0.00
GE902-V,15.238,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GE902-X,15.238,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GE903-U,11.388,0.10,0.10,0.00,0.00,0.10,0.70,0.00
GE903-V,16.625,0.10,0.10,0.00,0.00,0.10,0.70,0.00
GE904-U,16.589,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GE904-V,11.388,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GE904-W,15.368,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GE906-V,15.238,0.10,0.10,0.00,0.00,0.10,0.40,0.30
GE906-W,17.423,0.10,0.10,0.00,0.00,0.10,0.40,0.30
GP134-U,17.915,0.10,0.10,0.00,0.00,0.10,0.70,0.00
GP154-U,11.388,0.10,0.10,0.00,0.00,0.10,0.70,0.00
GP154-V,16.625,0.10,0.10,0.00,0.00,0.10,0.70,0.00
GP205-U,15.368,0.10,0.10,0.00,0.00,0.10,0.70,0.00
GP235-V,15.238,0.10,0.10,0.00,0.00,0.10,0.40,0.30
GP235-W,17.423,0.10,0.10,0.00,0.00,0.10,0.40,0.30
GP244-U,17.159,0.10,0.10,0.00,0.00,0.10,0.50,0.20
GP245-U,16.646,0.10,0.10,0.00,0.00,0.10,0.40,0.30
GP514-V,17.915,0.10,0.10,0.00,0.00,0.10,0.20,0.50
GP525-V,15.238,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GP525-X,15.238,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GP535-U,16.589,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GP535-V,11.388,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GP535-W,15.368,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GP545-U,16.733,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GP545-V,17.697,0.25,0.25,0.00,0.00,0.25,0.25,0.00
GP575-U,15.824,0.10,0.10,0.00,0.00,0.20,0.60,0.00
GP575-V,16.773,0.10,0.10,0.00,0.00,0.20,0.60,0.00
GP575-W,15.824,0.10,0.10,0.00,0.00,0.20,0.60,0.00
HS144-U,15.368,0.10,0.10,0.00,0.00,0.10,0.70,0.00
HS144-V,17.697,0.10,0.10,0.00,0.00,0.10,0.70,0.00
HU102-V,14.847,0.10,0.10,0.00,0.00,0.10,0.40,0.30
HU111-U,16.053,0.10,0.10,0.00,0.00,0.10,0.40,0.30
HU111-V,16.053,0.10,0.10,0.00,0.00,0.10,0.40,0.30
HU112-U,15.368,0.10,0.10,0.00,0.00,0.10,0.70,0.00
HU112-V,17.697,0.10,0.10,0.00,0.00,0.10,0.70,0.00
HU201-V,17.579,0.10,0.10,0.00,0.00,0.10,0.40,0.30
HU201-W,18.462,0.10,0.10,0.00,0.00,0.10,0.40,0.30
SI055-U,17.023,0.10,0.10,0.00,0.00,0.70,0.10,0.00
SI055-V,17.682,0.10,0.10,0.00,0.00,0.70,0.10,0.00
SI101-V,17.682,0.20,0.20,0.00,0.00,0.40,0.20,0.00
SI101-W,17.682,0.20,0.20,0.00,0.00,0.40,0.20,0.00
SI111-U,17.545,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI111-V,16.983,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI114-U,18.024,0.10,0.10,0.00,0.00,0.70,0.10,0.00
SI155-V,16.504,0.25,0.25,0.00,0.00,0.50,0.00,0.00
SI201-U,18.362,0.10,0.10,0.00,0.00,0.10,0.40,0.30
SI201-V,18.362,0.10,0.10,0.00,0.00,0.10,0.40,0.30
SI203-U,17.023,0.10,0.10,0.00,0.00,0.70,0.10,0.00
SI204-V,14.449,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI205-U,18.124,0.25,0.25,0.00,0.00,0.50,0.00,0.00
SI205-V,17.402,0.25,0.25,0.00,0.00,0.50,0.00,0.00
SI301-V,16.948,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI302-U,14.821,0.10,0.10,0.00,0.00,0.70,0.10,0.00
SI302-V,17.652,0.10,0.10,0.00,0.00,0.70,0.10,0.00
SI401-V,17.545,0.10,0.10,0.00,0.00,0.70,0.10,0.00
SI403-W,15.742,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI501-U,16.983,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI501-V,16.827,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI503-V,18.133,0.10,0.10,0.00,0.00,0.70,0.10,0.00
SI503-W,17.773,0.10,0.10,0.00,0.00,0.70,0.10,0.00
SI505-V,18.332,0.10,0.10,0.00,0.00,0.70,0.10,0.00
SI601-U,16.983,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI601-V,17.545,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI601-W,16.827,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI602-U,18.729,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI604-U,18.007,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI607-U,16.504,0.10,0.10,0.00,0.00,0.70,0.10,0.00
SI701-U,18.124,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI701-W,17.545,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI702-V,15.742,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI704-U,16.583,0.10,0.10,0.00,0.00,0.70,0.10,0.00
SI704-V,16.722,0.10,0.10,0.00,0.00,0.70,0.10,0.00
SI707-U,18.024,0.10,0.10,0.00,0.00,0.70,0.10,0.00
SI707-V,16.467,0.10,0.10,0.00,0.00,0.70,0.10,0.00
SI801-V,15.742,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI801-W,15.742,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI805-U,16.431,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI806-V,16.101,0.10,0.10,0.00,0.00,0.70,0.10,0.00
SI806-W,16.101,0.10,0.10,0.00,0.00,0.70,0.10,0.00
SI901-U,18.124,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI901-W,14.821,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI902-U,16.824,0.10,0.10,0.00,0.00,0.70,0.10,0.00
SI903-U,17.579,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI903-V,17.605,0.25,0.25,0.00,0.00,0.25,0.25,0.00
SI904-U,17.235,0.25,0.25,0.00,0.00,0.50,0.00,0.00
SI904-V,15.816,0.25,0.25,0.00,0.00,0.50,0.00,0.00
ST114-U,17.545,0.25,0.25,0.00,0.00,0.25,0.25,0.00
ST114-V,16.983,0.25,0.25,0.00,0.00,0.25,0.25,0.00
ST124-U,18.124,0.25,0.25,0.00,0.00,0.30,0.20,0.00
ST124-W,17.545,0.25,0.25,0.00,0.00,0.30,0.20,0.00
ST155-V,16.504,0.10,0.20,0.00,0.00,0.50,0.20,0.00
ST215-U,17.235,0.10,0.20,0.00,0.00,0.50,0.20,0.00
ST215-V,15.816,0.10,0.20,0.00,0.00,0.50,0.20,0.00
ST231-U,18.024,0.10,0.20,0.00,0.00,0.50,0.20,0.00
ST235-U,18.124,0.20,0.20,0.00,0.00,0.20,0.40,0.00
ST235-W,14.821,0.20,0.20,0.00,0.00,0.20,0.40,0.00
ST253-U,18.729,0.10,0.20,0.00,0.00,0.30,0.40,0.00
ST254-U,17.579,0.10,0.20,0.00,0.00,0.30,0.40,0.00
ST255-U,17.023,0.10,0.20,0.00,0.00,0.30,0.40,0.00
ST255-V,17.682,0.10,0.20,0.00,0.00,0.30,0.40,0.00
ST274-U,18.024,0.15,0.20,0.00,0.00,0.40,0.25,0.00
ST702-V,15.742,0.20,0.30,0.00,0.00,0.20,0.30,0.00
TE101-U,16.374,0.00,0.00,0.00,0.00,0.30,0.70,0.00
TE111-U,16.467,0.15,0.10,0.00,0.00,0.30,0.45,0.00
TE111-V,15.826,0.15,0.10,0.00,0.00,0.30,0.45,0.00
TE122-U,16.744,0.10,0.10,0.00,0.40,0.20,0.20,0.00
TE124-U,16.504,0.10,0.10,0.00,0.30,0.20,0.30,0.00
TE125-U,17.097,0.10,0.20,0.00,0.00,0.30,0.40,0.00
TE126-U,15.368,0.10,0.20,0.00,0.00,0.30,0.40,0.00
TE301-U,16.744,0.10,0.10,0.00,0.50,0.20,0.10,0.00
TE302-V,17.145,0.10,0.10,0.00,0.00,0.50,0.30,0.00
TE401-U,15.226,0.20,0.10,0.30,0.00,0.20,0.20,0.00
TE401-V,15.226,0.20,0.10,0.30,0.00,0.20,0.20,0.00
TE501-U,15.226,0.10,0.10,0.30,0.00,0.30,0.20,0.00
TE501-V,16.835,0.10,0.10,0.30,0.00,0.30,0.20,0.00
TE503-U,17.28,0.10,0.10,0.00,0.10,0.20,0.50,0.00
TE503-V,17.843,0.10,0.10,0.00,0.10,0.20,0.50,0.00
TE601-U,16.38,0.10,0.10,0.00,0.30,0.20,0.30,0.00
TE602-V,16.38,0.10,0.10,0.00,0.10,0.20,0.50,0.00
TE603-U,16.733,0.10,0.30,0.00,0.00,0.30,0.30,0.00
TE604-V,16.38,0.10,0.10,0.20,0.00,0.30,0.30,0.00
TE802-U,17.145,0.10,0.10,0.00,0.00,0.30,0.50,0.00
TE802-V,16.76,0.10,0.10,0.00,0.00,0.30,0.50,0.00
TE803-V,16.589,0.10,0.20,0.00,0.00,0.30,0.40,0.00
TE901-V,17.773,0.10,0.10,0.00,0.00,0.30,0.50,0.00
TP313-U,16.374,0.10,0.10,0.00,0.00,0.50,0.30,0.00
TP505-V,16.589,0.10,0.20,0.00,0.00,0.30,0.40,0.00
